epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,2385.85,1.01599,0.56914,1.84977,0.99024,0.98753,0.99377,0.86828,1.20535,0.46571,1.83411,0.000434754,0.000434754,0.000434754
114,2404.95,1.0239,0.57366,1.84707,0.98798,0.96983,0.99229,0.86947,1.18738,0.47407,1.84149,0.000423751,0.000423751,0.000423751
115,2424.12,1.01568,0.52919,1.83641,0.93902,0.99169,0.99073,0.87138,1.22302,0.49172,1.8663,0.000412749,0.000412749,0.000412749
116,2443.32,0.9938,0.53903,1.81733,0.95356,0.98456,0.99074,0.86282,1.19354,0.50745,1.83154,0.000401747,0.000401747,0.000401747
117,2462.55,1.05293,0.6168,1.86176,0.97565,0.97087,0.99199,0.86127,1.22066,0.49434,1.87082,0.000390745,0.000390745,0.000390745
118,2481.86,1.01893,0.55205,1.83878,0.95648,0.98544,0.99133,0.87116,1.19649,0.48096,1.83549,0.000379743,0.000379743,0.000379743
119,2501.14,0.99663,0.54947,1.82518,0.97164,0.97573,0.99211,0.87051,1.18082,0.48168,1.83424,0.00036874,0.00036874,0.00036874
120,2520.43,1.00669,0.53907,1.81634,0.98741,0.95388,0.99201,0.88235,1.17118,0.46844,1.82202,0.000357738,0.000357738,0.000357738
121,2539.75,1.01328,0.56705,1.84765,0.96316,0.98113,0.99135,0.87547,1.16784,0.50095,1.81257,0.000346736,0.000346736,0.000346736
122,2558.92,1.00757,0.52857,1.83087,0.97101,0.96289,0.99119,0.87825,1.16497,0.48301,1.84621,0.000335734,0.000335734,0.000335734
123,2577.97,0.93913,0.51477,1.80302,0.99377,0.95027,0.99137,0.87404,1.17328,0.48202,1.83866,0.000324732,0.000324732,0.000324732
124,2597.13,0.94714,0.54564,1.81149,0.98521,0.96998,0.99324,0.8821,1.16613,0.44679,1.83207,0.000313729,0.000313729,0.000313729
125,2616.33,0.99581,0.52769,1.83785,0.99423,0.96007,0.99293,0.8778,1.17357,0.45855,1.83812,0.000302727,0.000302727,0.000302727
126,2635.63,0.95085,0.48948,1.82956,0.96447,0.97545,0.99149,0.87839,1.1841,0.47272,1.8467,0.000291725,0.000291725,0.000291725
127,2654.87,1.02182,0.56161,1.85741,0.99329,0.96602,0.99332,0.87302,1.19768,0.45474,1.86821,0.000280723,0.000280723,0.000280723
128,2674.02,0.94838,0.5265,1.80927,0.98884,0.94518,0.99133,0.87914,1.17201,0.47458,1.84289,0.000269721,0.000269721,0.000269721
129,2693.2,0.94205,0.50574,1.79793,0.98331,0.97953,0.99322,0.87684,1.18974,0.46866,1.86588,0.000258718,0.000258718,0.000258718
130,2712.39,0.95933,0.50686,1.82062,0.95039,0.98618,0.9915,0.87341,1.18261,0.47752,1.85822,0.000247716,0.000247716,0.000247716
131,2731.64,0.91698,0.48724,1.79186,0.96354,0.97823,0.99137,0.8742,1.16827,0.48623,1.84568,0.000236714,0.000236714,0.000236714
132,2750.83,0.94483,0.49922,1.81786,0.96346,0.99029,0.99308,0.87571,1.16429,0.45057,1.83939,0.000225712,0.000225712,0.000225712
133,2769.99,0.93501,0.5094,1.81195,0.972,0.97087,0.99211,0.87419,1.18571,0.47175,1.85302,0.00021471,0.00021471,0.00021471
134,2789.26,0.9665,0.51616,1.82245,0.98422,0.97463,0.99249,0.87669,1.18435,0.4596,1.85983,0.000203707,0.000203707,0.000203707
135,2808.52,0.94623,0.50321,1.81331,0.96815,0.99029,0.99334,0.87756,1.17239,0.44261,1.83975,0.000192705,0.000192705,0.000192705
136,2827.78,0.92068,0.48399,1.81162,0.98255,0.97923,0.9933,0.87111,1.18053,0.45405,1.8528,0.000181703,0.000181703,0.000181703
137,2846.82,0.94082,0.51301,1.8176,0.98057,0.97256,0.99327,0.86565,1.16703,0.45347,1.84671,0.000170701,0.000170701,0.000170701
138,2865.97,0.90434,0.47759,1.79098,0.98845,0.97522,0.9931,0.87689,1.16527,0.44872,1.82248,0.000159699,0.000159699,0.000159699
139,2885.16,0.87975,0.4534,1.78615,0.99664,0.97087,0.99335,0.87694,1.18412,0.44958,1.8611,0.000148696,0.000148696,0.000148696
140,2904.27,0.89189,0.48314,1.79907,1,0.95713,0.99272,0.87712,1.16877,0.44825,1.84859,0.000137694,0.000137694,0.000137694
141,2964.83,0.74348,0.32964,1.66635,0.97491,0.98206,0.99312,0.876,1.16381,0.4419,1.81983,0.000126692,0.000126692,0.000126692
142,2983.9,0.71329,0.32722,1.67029,1,0.95987,0.99267,0.88341,1.16125,0.43643,1.82389,0.00011569,0.00011569,0.00011569
143,3002.88,0.6993,0.31855,1.66271,0.95719,0.98916,0.99229,0.88018,1.16591,0.45144,1.82976,0.000104688,0.000104688,0.000104688
144,3021.98,0.66809,0.29593,1.65189,0.97306,0.98345,0.99309,0.88253,1.1545,0.44882,1.82329,9.36854e-05,9.36854e-05,9.36854e-05
145,3041.06,0.66158,0.30645,1.6328,0.97184,0.98544,0.99322,0.87816,1.16522,0.45005,1.84661,8.26832e-05,8.26832e-05,8.26832e-05
146,3060.16,0.65756,0.28692,1.62171,0.98059,0.98828,0.99404,0.88071,1.16456,0.43252,1.84692,7.1681e-05,7.1681e-05,7.1681e-05
147,3079.24,0.64449,0.28995,1.62892,0.98307,0.98058,0.99349,0.88339,1.1509,0.43227,1.8206,6.06788e-05,6.06788e-05,6.06788e-05
148,3098.47,0.65817,0.28876,1.63392,0.99465,0.96602,0.99337,0.88088,1.15609,0.43784,1.83698,4.96766e-05,4.96766e-05,4.96766e-05
149,3117.65,0.6517,0.2912,1.62554,0.98424,0.96602,0.99276,0.87944,1.15974,0.45152,1.81784,3.86744e-05,3.86744e-05,3.86744e-05
150,3136.73,0.64594,0.28372,1.64625,0.97574,0.97996,0.99273,0.8828,1.16051,0.45001,1.81808,2.76722e-05,2.76722e-05,2.76722e-05
